Total Population,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Fossil Fuel Consumption (%),Male life expectancy,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year
45782417.0,4.982,10.0,20.66408,9.74,370691143086.761,4.83888819277422,-14176215022.7056,20694526453.7586,1177.56998281677,75.5498801460362,72.455,118.63996887207,47.4669914245605,113.55069732666,98.1699981689453,2012
45308899.0,4.945,10.0,20.65997,10.11,334966134865.305,4.52430527692771,-14204417348.3284,20405119001.452,1148.56024199573,75.7184354780395,72.141,121.831283569336,45.2873306274414,118.851791381836,98.2399978637695,2011
44816108.0,4.924,10.0,20.00037,10.98,286498534094.963,3.55343766742465,-9959465454.79918,18120613639.5651,1104.49126907673,76.9531038680444,71.817,124.375137329102,41.529670715332,119.824157714844,98.0999984741211,2010
44313917.0,4.912,10.0,19.91743,11.32,232468666665.153,2.83491615464968,-6907217159.00499,15551551000.017,1076.09534945873,77.3071269847468,71.487,128.164978027344,39.5088005065918,119.897972106934,97.9400024414062,2009
43815313.0,4.947,10.0,20.03915,10.52,242504150472.931,3.09767132865193,-8374986483.13413,16217185820.3306,998.372418336941,74.9778163959633,70.933,126.483901977539,37.9448013305664,114.712371826172,97.9899978637695,2008
43306582.0,4.993,10.0,22.02107,10.25,206229536757.674,8.10246414550461,-6355245977.61779,14301108233.617,998.416360820164,74.4102216684992,70.374,125.468856811523,35.4785308837891,114.754417419434,97.9686279296875,2007
42772910.0,5.016,10.0,20.21137,10.963,161792959247.85,4.88404198767273,-4300018324.4717,11627687098.071,970.66110302058,75.2795821410578,69.961,124.619491577148,34.3662109375,113.180770874023,97.883171081543,2006
42220940.0,5.072,10.0,20.03893,11.87,145600527535.771,4.13677011427845,-3720168054.22975,10959740026.8154,918.406837933973,75.922871130917,69.513,124.040641784668,32.253978729248,107.444198608398,97.9700012207031,2005
41648268.0,5.134,10.0,20.241,13.72,117092416651.395,4.20517469343906,-4064656537.21796,9263161365.63814,921.55092739991,74.9256405985985,69.032,122.84008026123,29.5034599304199,104.35856628418,97.9400024414062,2004
41057687.0,5.179,10.0,19.31598,14.19,94644969146.1352,0.769942160990581,-3232541931.14961,7882765738.83047,885.510184731059,73.97276515168,68.622,106.1287104573522,39.5289465704209,95.5224081760743,97.5,2003
40454050.0,5.26,10.0,19.75942,15.63,97945812789.8533,0.548510534139311,-2630908535.4122,8335193738.92283,882.359121027437,74.9478565303415,68.076,121.778861999512,26.5130996704102,97.1735610961914,97.4400024414062,2002
39837875.0,5.35,10.0,19.07099,15.04,98200641189.1568,0.707198232179749,-2423505778.60133,8171248521.67058,874.996470067743,76.676128274349,67.545,121.088790893555,26.3812599182129,96.9997787475586,97.10596383516906,2001
39215135.0,5.351,10.0,18.27562,20.52,99875074935.083,-1.78028232132705,-2156426855.83967,8295343607.78799,854.542512731373,76.0141392594484,67.312,124.298286437988,25.5096893310547,100.224639892578,97.10596383516906,2000
38585033.0,5.432,10.0,18.06876,20.06,86278947620.5906,-8.35057260527535,-1354871706.04875,11216928847.5505,836.61973283786,73.5290672778214,66.884,120.606903076172,23.6967697143555,96.544059753418,97.10596383516906,1999
37944414.0,5.442,10.0,19.685,15.0,98486358604.1784,-2.02583668985456,-1696246644.54063,13035447263.5243,904.164707880322,77.2616621371885,66.662,121.07396697998,24.204740524292,95.0913391113281,97.10596383516906,1998
37291946.0,5.476,10.87992125984252,19.78948,12.14,106656492324.769,1.74351783890494,-2325441715.8339,13445619933.6906,928.377403528365,75.8506781474481,66.431,106.1287104573522,21.6760997772217,95.5224081760743,97.10596383516906,1997
36632573.0,5.536,10.87992125984252,20.16368,11.81,97153389010.9466,-1.68000601134824,-2062553792.7259,12405340420.452,922.130149034303,69.9040797625358,66.13,118.326477050781,18.4493103027344,89.6014175415039,96.995002746582,1996
35970101.0,5.58,10.87992125984252,21.61411,8.72,92495970511.3951,2.46160115216803,-1596081144.16225,12966146161.3877,932.024071881255,69.5103220656371,65.885,114.107231140137,17.1475601196289,88.5218200683594,97.10596383516906,1995
5180829.0,6.828164939550949,13.0,20.153996565656563,11.453,68380838316.2777,1.5210220345151224,-5762904477.99695,2750204861.03815,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,2022
5153957.0,7.192,13.0,17.18582,15.14,64616482167.7475,1.5210220345151224,-4250921676.58402,2789454379.06513,2620.2462159809083,63.45225495047148,74.418,108.852310180664,39.5289465704209,99.0802307128906,99.5299987792969,2021
5123105.0,5.627,13.0,17.59424,16.43,62395610764.0705,-5.93094394059013,-3634359322.89243,2710606071.35235,2620.2462159809083,63.45225495047148,76.751,109.79963684082,39.5289465704209,96.7528686523438,97.10596383516906,2020
5084532.0,5.468,13.0,17.63289,10.81,64417670555.7821,0.532972632935042,-3829700904.65816,2706863474.78263,2620.2462159809083,63.45225495047148,77.002,110.891120910645,54.7189712524414,96.4939422607422,97.10596383516906,2019
5040734.0,5.276,13.0,18.45895,9.01,62420164964.6987,0.870057874623882,-3343991837.78504,2798813044.82771,2620.2462159809083,63.45225495047148,76.996,108.677192687988,52.8686790466309,95.6204299926758,80.5499954223633,2018
4993842.0,5.18,13.0,17.48211,7.73,60516044623.4876,1.2692218824952,-3160942878.72867,2844118742.03457,2620.2462159809083,63.45225495047148,77.07,106.603530883789,54.4580307006836,94.1781234741211,97.10596383516906,2017
